listing_id,date,num_reviews,reviewers
25924427,2025-11-01,1,270204148
25924427,2025-09-01,1,342269946
25924427,2025-07-01,1,63538598
25924427,2025-12-01,2,"80237875,53061342"
31075653,2025-12-01,2,"536641155,731907287"
31075653,2025-11-01,1,22863961
31075653,2025-10-01,2,"78656989,56147588"
31075653,2025-09-01,5,"151469172,172979696,653236551,221501476,672669979"
31075653,2025-08-01,6,"19965697,186430777,421421380,489901055,138265958,266871494"
31075653,2025-07-01,1,650883852
31075653,2025-06-01,1,27851216
31075653,2026-04-01,1,667122135
31075653,2026-01-01,2,"659112263,17240350"
15859431,2026-05-01,2,"171690813,332445"
15859431,2026-03-01,1,331137302
15859431,2025-09-01,1,499229619
15859431,2026-04-01,2,"6609492,48258772"
15859431,2026-02-01,2,"375316256,135254285"
15859431,2025-12-01,1,42148253
15859431,2025-08-01,1,594773008
15859431,2025-06-01,1,34681827
21871363,2026-03-01,1,536735672
21871363,2026-01-01,3,"646332,48192067,236695053"
21871363,2026-04-01,1,293522807
21871363,2025-11-01,3,"118339910,544452077,707011610"
21871363,2025-12-01,2,"336968218,665591621"
20460220,2025-09-01,1,708347096
20460220,2026-03-01,4,"32808534,477042642,260067977,141297029"
20460220,2025-11-01,3,"39787527,7068637,7309233"
20460220,2025-10-01,2,"150738422,365328610"
20460220,2025-08-01,1,183337457
20460220,2026-04-01,4,"362424097,29067060,60090463,27510014"
20460220,2025-12-01,3,"29097347,55549266,30385509"
20460220,2026-02-01,1,19645474
19939757,2025-07-01,1,523812693
19939757,2026-04-01,1,419741417
19939757,2026-02-01,2,"208644947,114708415"
33595492,2025-10-01,1,414551300
32595127,2026-05-01,1,167826427
32595127,2026-04-01,1,109436276
32595127,2026-03-01,2,"716274969,582780625"
32595127,2025-12-01,1,129943098
32595127,2025-11-01,2,"22932609,144909506"
17481054,2026-05-01,1,25905398
17481054,2026-04-01,2,"77999091,246135386"
17481054,2026-03-01,2,"196099827,578436967"
17481054,2026-01-01,2,"21592520,728963015"
17481054,2025-12-01,2,"280750779,657867458"
17481054,2025-11-01,1,67658125
17481054,2025-10-01,3,"61695674,717789711,191425396"
17481054,2025-07-01,1,229190308
17481054,2025-06-01,2,"595597214,695327779"
30860301,2026-03-01,9,"110464704,686773943,240492039,746886805,202017220,567286033,305026943,174728084,133280190"
30860301,2026-01-01,8,"67896300,457467104,128970278,667841126,690693704,498022121,452555669,66668922"
30860301,2025-09-01,2,"255829073,12442107"
30860301,2025-07-01,1,666697250
30860301,2026-04-01,2,"26320595,575341380"
30860301,2026-02-01,4,"986381,159380218,57996693,707115822"
30860301,2025-12-01,3,"140808065,524627359,23003194"
30860301,2025-10-01,1,35910930
30860301,2025-08-01,1,463936387
30860301,2025-06-01,2,"94919360,92549569"
27348593,2025-06-01,1,89693431
23005724,2025-11-01,1,46078230
23005724,2025-09-01,2,"594921358,180301788"
23005724,2026-01-01,2,"569606203,13751478"
28057262,2025-10-01,1,513192114
14464801,2025-11-01,2,"291054297,32302282"
34025633,2025-06-01,1,511039012
34025633,2026-03-01,1,739681144
22916238,2025-12-01,2,"726225914,131589084"
22916238,2025-11-01,6,"525066753,723327059,436873793,713842321,485193178,726225914"
22916238,2025-10-01,1,653918400
22916238,2025-09-01,1,258878900
22916238,2025-08-01,3,"585592881,286953769,59496110"
29689988,2025-11-01,2,"174850956,289937764"
29689988,2025-10-01,1,85525316
29689988,2025-09-01,1,88871596
29689988,2025-06-01,1,167625686
29689988,2026-04-01,1,391674289
29689988,2026-02-01,1,91407734
29689988,2026-01-01,1,67486521
32269958,2026-05-01,1,474958830
32269958,2026-04-01,1,751167238
32269958,2026-03-01,1,211545952
32269958,2026-01-01,1,659602692
32269958,2025-11-01,1,522316661
32269958,2025-09-01,1,556081566
26902603,2026-03-01,1,380587949
26902603,2025-12-01,1,725641851
26902603,2025-11-01,1,432085052
26902603,2025-08-01,1,250486427
26902603,2026-01-01,1,559712569
9219471,2025-08-01,1,269561769
21037862,2026-05-01,1,484144425
21037862,2026-03-01,3,"277940610,415214798,58851838"
21037862,2026-02-01,1,195423158
21037862,2025-12-01,1,471387356
21037862,2025-11-01,1,728580068
21037862,2025-07-01,1,44834867
24344659,2026-03-01,2,"68823967,211897393"
24344659,2026-01-01,1,425355724
24344659,2026-04-01,2,"412321315,45258570"
24344659,2025-12-01,2,"282317946,422388364"
24344659,2025-10-01,1,461980885
24344659,2026-02-01,1,501965268
31317055,2025-08-01,1,530473790
31548210,2026-03-01,2,"153620259,329981429"
31548210,2026-01-01,4,"21837701,473877266,373804786,39274281"
31548210,2025-11-01,3,"128914515,128914515,382385"
31548210,2025-09-01,1,76137519
31548210,2025-07-01,1,47069767
31548210,2026-04-01,2,"14511432,12486328"
31548210,2026-02-01,2,"2073691,160124054"
31548210,2025-12-01,2,"50853998,657814217"
31548210,2025-10-01,1,24925902
17755172,2026-03-01,1,449016726
17755172,2025-11-01,1,477636961
17755172,2026-01-01,1,232137805
17755172,2026-04-01,1,737522819
17755172,2026-02-01,3,"500517641,735797801,145754843"
17755172,2025-06-01,1,427631538
22541913,2026-03-01,3,"4834849,35437917,408978851"
22541913,2025-09-01,2,"559378858,10156967"
22541913,2025-07-01,2,"231911110,231911110"
22541913,2026-04-01,4,"5946319,275675433,382211495,253400711"
22541913,2026-02-01,2,"267270201,230351050"
22541913,2025-10-01,3,"178746727,328110227,155146680"
22541913,2025-08-01,2,"464086943,402783737"
22541913,2025-06-01,1,229204809
30021069,2026-05-01,2,"545630847,293736252"
30021069,2026-04-01,1,666264697
30021069,2025-08-01,1,293169673
30021069,2026-01-01,1,545630847
13607007,2025-11-01,1,406085818
28943608,2026-04-01,3,"658610527,154145101,189841493"
28943608,2026-03-01,2,"499736476,151077044"
28943608,2025-07-01,1,88504642
28943608,2025-06-01,1,4764018
28943608,2025-08-01,3,"489668667,489668667,489668667"
28943608,2026-02-01,1,84243364
30904180,2026-01-01,2,"543732105,233993670"
30904180,2025-11-01,1,451042298
30904180,2025-08-01,2,"71140568,551213680"
29151554,2026-03-01,3,"260532093,425391984,116062770"
29151554,2026-01-01,1,738248724
29151554,2025-11-01,3,"589826379,675606171,64607784"
29151554,2025-09-01,1,708730643
29151554,2025-07-01,2,"42091233,396866517"
29151554,2026-02-01,1,77713244
29151554,2025-12-01,3,"237075379,504327381,126832804"
29151554,2025-10-01,1,661836832
29151554,2025-08-01,1,327168626
29151554,2025-06-01,2,"520978463,21641019"
29422956,2025-11-01,2,"466126303,174191979"
33004987,2026-03-01,3,"210162232,748769162,52353206"
33004987,2026-01-01,1,452914743
33004987,2025-11-01,3,"140882576,728637353,175273191"
33004987,2025-09-01,1,130871098
33004987,2026-04-01,1,684503339
33004987,2025-12-01,2,"467934438,92740046"
33004987,2025-10-01,2,"419702238,399313861"
24399403,2026-01-01,4,"224705516,327196246,237626209,562322424"
24399403,2025-11-01,1,725087709
24399403,2025-09-01,1,150009710
24399403,2025-07-01,1,213822683
24399403,2026-02-01,1,452531795
24399403,2025-12-01,1,271508969
24399403,2025-10-01,1,458384564
4612134,2026-05-01,1,574468529
